O15554	O15554
O15554	P58390
O15554	Q9H2S1
O15554	Q92952
O15554	Q9UGI6
O15554	P70604
O15554	P58391
O15554	P70605
O15554	Q9EQR3
O15554	P70606
O42043	O42043
O43310	O43310
O43310	Q6PEE2
O43719	O43719
O43719	Q8BGC0
O43823	O43823
O43823	Q5VK71
O43823	Q63014
O43823	Q9DBR0
O43823	O88291
O43823	Q5BKZ1
O43823	Q9R0L7
O43823	Q9ULX6
O43826	O43826
O43903	O43903
O43903	P11862
O43903	Q3UWW6
O43903	Q86XJ1
O43913	O43913
O43913	Q24169
O60264	O60264
O60264	P28370
O60264	Q6PGB8
O60264	Q91ZW3
O60264	P38144
O60264	P41877
O60264	P43610
O60264	Q60848
O60264	Q9NRZ9
O60264	Q08773
O60264	Q24368
O60264	Q9XFH4
O60264	P32657
O60264	Q9US25
O60264	O14139
O60264	Q9VL72
O60264	Q9Y620
O60264	Q6ZRS2
O60264	Q86WJ1
O60264	Q9CXF7
O60264	A2AJK6
O60264	Q9P2D1
O60264	G5EF53
O60264	Q05471
O60264	Q0PCS3
O60264	A4PBL4
O60264	Q6DIC0
O60264	P51531
O60264	D3ZA12
O60264	A3KFM7
O60264	Q8TD26
O60264	P25439
O60264	Q7KU24
O60264	O14646
O60264	P40201
O60264	B6ZLK2
O60264	E9PZM4
O60264	O14647
O60264	A9X4T1
O60264	Q9NDJ2
O60264	F1Q8K0
O60264	Q92698
O60264	P70270
O60264	O76460
O60264	F8VPZ5
O60264	Q03468
O60264	P38086
O60264	Q6EVK6
O60264	Q9VDY1
O60264	Q9ULG1
O60264	Q6ZPV2
O60264	P53115
O60264	Q8RXS6
O60264	Q04692
O60264	Q9H4L7
O60264	D3Z9Z9
O60264	Q8K1P7
O60264	P51532
O60264	Q3TKT4
O60264	Q8RWY3
O60264	F4JY24
O60264	Q9S775
O60264	Q9ZUL5
O60264	O97159
O60264	Q14839
O60264	Q6PDQ2
O60264	Q12873
O60264	A2A8L1
O60264	Q8TDI0
O60264	D3ZD32
O60264	O16102
O60264	G5EBZ4
O60264	P40352
O60264	Q09XV5
O60264	Q9HCK8
O60264	Q9JIX5
O60264	Q8BYH8
O60264	Q3L8U1
O60264	Q7X9V2
O60264	P41410
O60264	P32863
O60264	O14148
O60264	Q9P793
O60264	Q9UTN6
O60264	P32597
O60264	P22082
O60264	O94421
O60264	Q09772
O60264	Q8BHK9
O60264	Q2NKX8
O60264	A2BGR3
O60264	F4IV99
O60264	Q60EX7
O60264	O74842
O60264	P31380
O60264	O42861
O75072	O75072
O75072	Q8R507
O75072	Q60HG0
O75132	O75132
O75191	O75191
O75191	Q3TNA1
O75191	Q949W8
O75191	P42826
O75191	Q8X167
P15880	P15880
P15880	P25443
P15880	P49688
P15880	P25444
P15880	P27952
P15880	P31009
P15880	P27685
P15880	P51403
P15880	G1SWM1
P15880	O18789
P15880	Q5A900
P15880	O74892
P16455	P16455
P16455	P24528
P16455	P26187
P17861	P17861
P17861	O35426
P21675	P21675
P21675	Q8IZX4
P21675	Q80UV9
P21675	P51123
P24278	P24278
P24278	Q8N680
P42331	P42331
P42331	Q8BYW1
P42331	Q7Z5H3
P42331	Q8BL80
P42331	Q8C4V1
P42331	Q8N264
P42331	Q5U2Z7
P46695	P46695
P46695	P46694
P48039	P48039
P48039	P49286
P48039	O88495
P48039	Q13585
P49450	P49450
P49450	Q6XXM1
P49450	P49449
P49821	P49821
P49821	P25708
P49821	Q91YT0
P49821	Q9FNN5
P49842	P49842
P49842	A0A1L8F8I9
P49901	P49901
Q8N5P1	Q8N5P1
Q8N5P1	Q9JJ48
Q8N6D2	Q8N6D2
Q8N6L0	Q8N6L0
Q8N6L0	Q80VJ8
Q8N6R1	Q8N6R1
Q8N6R1	Q9R2C1
Q8N6R1	Q9Y6X1
Q8N6U8	Q8N6U8
Q8N6U8	B2RPY5
Q8N9I5	Q8N9I5
Q8N9M5	Q8N9M5
Q8N9M5	Q3UPR7
Q8NAG6	Q8NAG6
Q8NB16	Q8NB16
Q8NB16	Q9D2Y4
Q8NB59	Q8NB59
Q8NB59	Q7TN83
Q8NB59	Q17RD7
Q8NB78	Q8NB78
Q8NB78	Q8CIG3
Q8NB78	Q21988
Q8NB78	O60341
Q8NB78	Q6ZQ88
Q8NB78	Q9VW97
Q8NB78	Q9SKX5
Q8NB78	Q0J954
Q8NB78	Q7X809
Q8NB78	Q9LYT1
Q8NB78	Q7XR46
Q8NB78	Q8H191
Q8NB78	Q9LID0
Q8NB78	Q8VXV7
Q8NB78	Q9CAE3
Q8NBZ0	Q8NBZ0
Q8NCR0	Q8NCR0
Q8NCR0	Q8BG28
Q8NEE6	Q8NEE6
Q8NEE6	Q8CDU4
Q8NFQ8	Q8NFQ8
Q8NFQ8	Q8BYU6
Q8NFQ8	Q5PQX1
Q8NFQ8	Q5JTV8
Q8NFQ8	Q921T2
Q8NFT6	Q8NFT6
Q8NFT6	Q7ZZH7
Q8NFT6	Q9QZ41
Q8NFT6	Q9UBU7
Q8NFU3	Q8NFU3
Q8NFU3	Q12305
Q8NFU3	Q08742
Q8NFU3	Q9D0B5
Q8NFZ5	Q8NFZ5
Q8NFZ5	Q99JG7
Q8NI36	Q8NI36
Q8NI36	Q06078
Q8TAZ6	Q8TAZ6
Q8TBB0	Q8TBB0
Q8TCC7	Q8TCC7
Q8TCC7	Q9R1U7
Q8TCC7	O88909
Q8TCC7	Q70BM6
Q8TCC7	Q4W8A2
Q8TCC7	Q86VW1
Q8TCC7	Q8IVM8
Q8TCC7	Q76M72
Q8TCC7	Q8VCA0
Q8TCC7	Q76M99
Q8TCC7	Q63ZE4
Q8TCC7	Q8N4F4
Q8TCC7	A0A3Q2IDB4
Q8TCC7	Q9Y267
Q8TCC7	Q8IZD6
Q8TCC7	O76082
Q8TCC7	Q9H015
Q8TCC7	O70594
Q8TCC7	Q9Z0E8
Q8TCC7	Q9R141
Q8TCC7	Q9Z306
Q8TCC7	Q9NSA0
Q8TCC7	Q497L9
Q8TCC7	Q8R0S9
Q8TCC7	Q9WTW5
Q8TCC7	O75751
